the_geom,OBJECTID,Name,Stacked,AnnoLine1,AnnoLine2,AnnoLine3,AnnoAngle,Borough
POINT (-74.12727240604953 40.579118742961256),290,Egbertville,1,Egbertville,,,0,Staten Island
POINT (-73.89213760232829 40.567375889570364),291,Roxbury,1,Roxbury,,,0,Queens
POINT (-73.9591845942871 40.59852509513729),292,Homecrest,1,Homecrest,,,0,Brooklyn
POINT (-73.8811431920061 40.71641451115823),293,Middle Village,2,Middle,Village,,0,Queens
POINT (-74.20152556457666 40.526264067348166),294,Prince's Bay,2,Prince's,Bay,,0,Staten Island
POINT (-74.13792663771576 40.576506293794935),295,Lighthouse Hill,2,Lighthouse,Hill,,0,Staten Island
POINT (-74.22957080626948 40.519541457489126),296,Richmond Valley,2,Richmond,Valley,,0,Staten Island
POINT (-73.8266775713865 40.790601556701525),297,Malba,1,Malba,,,0,Queens
POINT (-73.8902809854761 40.68248551101694),298,Highland Park,2,Highland,Park,,0,Brooklyn
POINT (-73.948415153289 40.609377701137696),299,Madison,1,Madison,,,0,Brooklyn
